location,time,ppi_tot_manufact_food,date
FRA,2001-02,85.9,Feb 2001
FRA,2001-03,86.7,Mar 2001
FRA,2001-04,87.5,Apr 2001
FRA,2001-05,87.6,May 2001
FRA,2001-06,87.7,Jun 2001
FRA,2001-07,87.5,Jul 2001
FRA,2001-08,87.5,Aug 2001
FRA,2001-09,87.2,Sep 2001
FRA,2001-10,86.9,Oct 2001
FRA,2001-11,87,Nov 2001
FRA,2001-12,87.4,Dec 2001
FRA,2002-01,87.2,Jan 2002
FRA,2002-02,87,Feb 2002
FRA,2002-03,87.2,Mar 2002
FRA,2002-04,87.4,Apr 2002
FRA,2002-05,87.4,May 2002
FRA,2002-06,87.2,Jun 2002
FRA,2002-07,87.5,Jul 2002
FRA,2002-08,87.4,Aug 2002
FRA,2002-09,87.5,Sep 2002
FRA,2002-10,87.5,Oct 2002
FRA,2002-11,87.6,Nov 2002
FRA,2002-12,87.7,Dec 2002
FRA,2003-01,87.7,Jan 2003
FRA,2003-02,87.9,Feb 2003
FRA,2003-03,88.1,Mar 2003
FRA,2003-04,88.2,Apr 2003
FRA,2003-05,88,May 2003
FRA,2003-06,87.8,Jun 2003
FRA,2003-07,88,Jul 2003
FRA,2003-08,87.9,Aug 2003
FRA,2003-09,88.4,Sep 2003
FRA,2003-10,88.2,Oct 2003
FRA,2003-11,88.6,Nov 2003
FRA,2003-12,88.6,Dec 2003
FRA,2004-01,88.8,Jan 2004
FRA,2004-02,89,Feb 2004
FRA,2004-03,89.4,Mar 2004
FRA,2004-04,89.5,Apr 2004
FRA,2004-05,89.6,May 2004
FRA,2004-06,89.8,Jun 2004
FRA,2004-07,89.7,Jul 2004
FRA,2004-08,89.3,Aug 2004
FRA,2004-09,89,Sep 2004
FRA,2004-10,88.4,Oct 2004
FRA,2004-11,88.2,Nov 2004
FRA,2004-12,88,Dec 2004
FRA,2005-01,87.7,Jan 2005
FRA,2005-02,87.9,Feb 2005
FRA,2005-03,87.7,Mar 2005
FRA,2005-04,87.7,Apr 2005
FRA,2005-05,87.7,May 2005
FRA,2005-06,88.1,Jun 2005
FRA,2005-07,88.2,Jul 2005
FRA,2005-08,87.8,Aug 2005
FRA,2005-09,87.8,Sep 2005
FRA,2005-10,87.7,Oct 2005
FRA,2005-11,88.1,Nov 2005
FRA,2005-12,88.4,Dec 2005
FRA,2006-01,88.4,Jan 2006
FRA,2006-02,88.7,Feb 2006
FRA,2006-03,89,Mar 2006
FRA,2006-04,89,Apr 2006
FRA,2006-05,88.9,May 2006
FRA,2006-06,89.2,Jun 2006
FRA,2006-07,89.5,Jul 2006
FRA,2006-08,89.5,Aug 2006
FRA,2006-09,89.5,Sep 2006
FRA,2006-10,89.7,Oct 2006
FRA,2006-11,90,Nov 2006
FRA,2006-12,89.9,Dec 2006
FRA,2007-01,90.2,Jan 2007
FRA,2007-02,90.7,Feb 2007
FRA,2007-03,90.8,Mar 2007
FRA,2007-04,91.1,Apr 2007
FRA,2007-05,91.5,May 2007
FRA,2007-06,91.7,Jun 2007
FRA,2007-07,92.6,Jul 2007
FRA,2007-08,93.5,Aug 2007
FRA,2007-09,94.2,Sep 2007
FRA,2007-10,95.4,Oct 2007
FRA,2007-11,96.1,Nov 2007
FRA,2007-12,97.1,Dec 2007
FRA,2008-01,98,Jan 2008
FRA,2008-02,98.5,Feb 2008
FRA,2008-03,99.1,Mar 2008
FRA,2008-04,99.5,Apr 2008
