location,time,ppi_tot_con,date
HUN,2013-11,97.17411,Nov 2013
HUN,2013-12,97.6299,Dec 2013
HUN,2014-01,99.90884,Jan 2014
HUN,2014-02,100.4558,Feb 2014
HUN,2014-03,99.17958,Mar 2014
HUN,2014-04,97.81222,Apr 2014
HUN,2014-05,97.44759,May 2014
HUN,2014-06,98.08569,Jun 2014
HUN,2014-07,98.17685,Jul 2014
HUN,2014-08,98.54147,Aug 2014
HUN,2014-09,98.72379,Sep 2014
HUN,2014-10,97.99453,Oct 2014
HUN,2014-11,98.35916,Nov 2014
HUN,2014-12,98.81495,Dec 2014
HUN,2015-01,100.0912,Jan 2015
HUN,2015-02,98.99727,Feb 2015
HUN,2015-03,98.99727,Mar 2015
HUN,2015-04,99.36189,Apr 2015
HUN,2015-05,99.63537,May 2015
HUN,2015-06,100.6381,Jun 2015
HUN,2015-07,100.5469,Jul 2015
